Rk,Player,Age,Team,Pos,GP,GS,W,L,T/O,GA,Shots,SV,SV%,GAA,SO,MIN,QS,QS%,RBS,GA%-,GSAA,GAA/A,GPS,G,A,PTS,PIM,Awards,-9999
66,Jean-François Bérubé,26,CHI,G,13,10,3,6,1,42,398,356,.894,3.78,0,667:23,3,.300,3,120,-7.1,4.05,1.4,0,0,0,0,,berubje02
67,Steve Mason,29,WPG,G,13,12,5,6,1,37,392,355,.906,3.24,1,684:53,5,.417,3,108,-2.6,3.50,1.9,0,1,1,0,,masonst01
68,Al Montoya,32,2TM,G,13,8,4,3,2,37,346,309,.893,3.21,0,691:44,1,.125,2,122,-6.6,3.47,1.2,0,2,2,0,,montoal01
68,Al Montoya,32,MTL,G,4,3,2,1,0,14,102,88,.863,3.77,0,222:31,0,.000,1,156,-5.0,4.04,0.0,0,1,1,0,,montoal01
68,Al Montoya,32,EDM,G,9,5,2,2,2,23,244,221,.906,2.94,0,469:13,1,.200,1,107,-1.6,3.20,1.2,0,1,1,0,,montoal01
69,Jon Gillies,24,CGY,G,11,9,3,5,1,29,280,251,.896,2.88,0,604:56,5,.556,2,118,-4.4,3.07,1.1,0,0,0,2,,gillijo01
70,Alex Lyon,25,PHI,G,11,7,4,2,1,22,232,210,.905,2.75,0,479:48,3,.429,2,108,-1.6,3.00,1.1,0,0,0,0,,lyonal01
71,Alexandar Georgiev,21,NYR,G,10,9,4,4,1,27,331,304,.918,3.15,0,514:46,5,.556,1,93,2.1,3.38,2.1,0,0,0,0,,georgal01
72,Harri Säteri,28,FLA,G,9,7,4,4,0,24,271,247,.911,2.92,0,492:36,5,.714,0,101,-0.2,3.17,1.5,0,0,0,0,,saterha01
73,Peter Budaj,35,TBL,G,8,7,3,3,1,27,217,190,.876,3.76,0,430:24,2,.286,1,142,-8.0,4.04,0.3,0,0,0,0,,budajpe01
74,Christopher Gibson,25,NYI,G,8,8,2,3,2,26,284,258,.908,3.65,0,426:52,5,.625,3,104,-1.1,3.94,1.5,0,0,0,0,,gibsoch01
75,Eddie Läck,30,2TM,G,8,5,2,4,0,23,177,154,.870,4.02,0,343:37,1,.200,2,148,-7.5,4.37,0.2,0,0,0,0,,lacked01
75,Eddie Läck,30,CGY,G,4,2,1,2,0,12,64,52,.813,5.29,0,136:12,0,.000,1,214,-6.4,5.73,-0.3,0,0,0,0,,lacked01
75,Eddie Läck,30,NJD,G,4,3,1,2,0,11,113,102,.903,3.18,0,207:25,1,.333,1,111,-1.1,3.47,0.5,0,0,0,0,,lacked01
76,Jared Coreau,26,DET,G,7,7,0,5,1,27,203,176,.867,4.26,0,380:26,1,.143,2,152,-9.2,4.57,0.1,0,0,0,0,,coreaja01
77,Reto Berra,31,ANA,G,5,1,1,1,0,7,95,88,.926,2.31,0,181:57,1,1.000,0,84,1.3,2.64,0.7,0,0,0,0,,berrare01
78,Jack Campbell,26,LAK,G,5,4,2,0,2,11,145,134,.924,2.48,0,266:37,2,.500,0,86,1.7,2.70,1.0,0,0,0,0,,campbja01
79,Linus Ullmark,24,BUF,G,5,3,1,2,0,8,123,115,.935,2.00,0,240:18,2,.667,0,74,2.8,2.25,1.0,0,0,0,0,,ullmali01
80,Oscar Dansk,23,VEG,G,4,3,3,0,0,5,93,88,.946,1.78,1,168:36,3,1.000,0,61,3.2,1.78,0.9,0,0,0,0,,danskos01
81,Adin Hill,21,ARI,G,4,4,1,3,0,14,129,115,.891,3.49,0,240:45,2,.500,1,124,-2.7,3.74,0.4,0,0,0,0,,hillad01
82,Kenneth Appleby,22,NJD,G,3,1,0,1,0,3,55,52,.945,1.45,0,124:20,0,.000,0,62,1.8,1.45,0.5,0,0,0,0,,appleke01
83,Eric Comrie,22,WPG,G,3,3,1,2,0,12,94,82,.872,3.99,0,180:26,1,.333,0,145,-3.7,4.32,0.1,0,0,0,0,,comrier01
84,Michael Hutchinson,27,WPG,G,3,3,2,1,0,7,75,68,.907,3.26,0,128:45,2,.667,1,106,-0.4,3.73,0.4,0,1,1,0,,hutchmi01
85,Collin Delia,23,CHI,G,2,2,1,1,0,7,63,56,.889,3.96,0,105:59,1,.500,0,127,-1.5,4.53,0.2,0,0,0,2,,deliaco01
86,Mike McKenna,34,DAL,G,2,1,1,1,0,5,50,45,.900,2.96,0,101:20,0,.000,1,114,-0.6,2.96,0.2,0,0,0,0,,mckenmi01
